"","alg","init","init_fitness","eval","move","move_control","T","N","L","tmax"
"1","hill","greddy",7137517.24256025,7137495.59275376,"twoopt","exp",NA,NA,NA,100
"2","sann","greddy",7137517.24256025,7137516.73204328,"twoopt","exp",2,NA,NA,100
"3","sann","greddy",7137517.24256025,7137515.30428395,"twoopt","exp",4,NA,NA,100
"4","sann","greddy",7137517.24256025,7137517.24256025,"twoopt","exp",6,NA,NA,100
"5","sann","greddy",7137517.24256025,7137517.24256025,"twoopt","exp",8,NA,NA,100
"6","sann","greddy",7137517.24256025,7137514.79358609,"twoopt","exp",10,NA,NA,100
"7","sann","greddy",7137517.24256025,7137481.22166135,"twoopt","exp",12,NA,NA,100
"8","sann","greddy",7137517.24256025,7137517.24256025,"twoopt","exp",14,NA,NA,100
"9","sann","greddy",7137517.24256025,7137394.55122195,"twoopt","exp",16,NA,NA,100
"10","sann","greddy",7137517.24256025,7137517.24256025,"twoopt","exp",18,NA,NA,100
"11","sann","greddy",7137517.24256025,7137517.24256025,"twoopt","exp",20,NA,NA,100
"12","sann","greddy",7137517.24256025,7137449.48459314,"twoopt","exp",2,NA,NA,100
"13","sann","greddy",7137517.24256025,7137497.02474102,"twoopt","exp",4,NA,NA,100
"14","sann","greddy",7137517.24256025,7137499.182142,"twoopt","exp",6,NA,NA,100
"15","sann","greddy",7137517.24256025,7137515.62689453,"twoopt","exp",8,NA,NA,100
"16","sann","greddy",7137517.24256025,7137480.94856364,"twoopt","exp",10,NA,NA,100
"17","sann","greddy",7137517.24256025,7137489.24291097,"twoopt","exp",12,NA,NA,100
"18","sann","greddy",7137517.24256025,7137490.71351256,"twoopt","exp",14,NA,NA,100
"19","sann","greddy",7137517.24256025,7137465.67378276,"twoopt","exp",16,NA,NA,100
"20","sann","greddy",7137517.24256025,7137517.24256025,"twoopt","exp",18,NA,NA,100
"21","sann","greddy",7137517.24256025,7137517.24256025,"twoopt","exp",20,NA,NA,100
"22","sann","greddy",7137517.24256025,7137488.83901336,"twoopt","exp",2,NA,NA,100
"23","sann","greddy",7137517.24256025,7137488.07101004,"twoopt","exp",4,NA,NA,100
