"","it","alg","init_fitness","eval","move","move_control","T","N","L","alpha","tmax"
"1",0,"hill",6903685.31518207,6903685.31518207,"reduce_max_dist","dist_exp",NA,NA,NA,NA,100
"2",1000,"hill",6903685.31518207,6903685.31518207,"neighbor","dist_exp",NA,NA,NA,NA,100
"3",2000,"tabu",6903685.31518207,6903685.31518207,"neighbor","dist_exp",NA,10,20,NA,100
"4",3000,"sann",6903685.31518207,6903685.31518207,"reduce_max_dist","dist_iden",16,NA,NA,0.99,100
"5",4000,"tabu",6903685.31518207,6903680.32940144,"neighbor","dist_exp",NA,10,4,NA,100
"6",5000,"tabu",6903680.32940144,6903680.32940144,"twoopt","dist_iden",NA,10,20,NA,100
"7",6000,"sann",6903680.32940144,6903680.32940144,"reduce_max_dist","dist_iden",1,NA,NA,0.99,100
"8",7000,"tabu",6903680.32940144,6903656.26692648,"neighbor","dist_iden",NA,10,50,NA,100
"9",8000,"tabu",6903656.26692648,6903637.57661272,"neighbor","dist_exp",NA,10,10,NA,100
"10",9000,"sann",6903637.57661272,6903467.91812447,"reduce_max_dist","dist_exp",1,NA,NA,0.66,100
"11",10000,"sann",6903467.91812448,6903467.91812448,"neighbor","dist_exp",6,NA,NA,0.66,100
"12",11000,"hill",6903467.91812448,6903437.30510944,"twoopt","dist_exp",NA,NA,NA,NA,100
"13",12000,"hill",6903437.30510944,6903437.28087801,"neighbor","dist_exp",NA,NA,NA,NA,100
"14",13000,"sann",6903437.28087801,6903437.28087801,"reduce_max_dist","dist_exp",6,NA,NA,0.85,100
"15",14000,"tabu",6903437.28087801,6903437.28087801,"neighbor","dist_iden",NA,10,50,NA,100
"16",15000,"tabu",6903437.28087801,6903437.28087801,"neighbor","dist_iden",NA,10,4,NA,100
"17",16000,"tabu",6903437.28087801,6903437.28087801,"twoopt","dist_iden",NA,10,10,NA,100
"18",17000,"tabu",6903437.28087801,6903437.28087801,"reduce_max_dist","dist_iden",NA,10,50,NA,100
"19",18000,"sann",6903437.28087801,6903437.28087801,"reduce_max_dist","dist_exp",18,NA,NA,0.55,100
"20",19000,"sann",6903437.28087801,6903437.28087801,"twoopt","dist_exp",2,NA,NA,0.55,100
"21",20000,"sann",6903437.28087801,6903437.28087801,"reduce_max_dist","dist_exp",16,NA,NA,0.85,100
"22",21000,"sann",6903437.28087801,6903437.28087801,"neighbor","dist_iden",1,NA,NA,0.66,100
"23",22000,"tabu",6903437.28087801,6903425.06283362,"neighbor","dist_exp",NA,10,4,NA,100
"24",23000,"sann",6903425.06283362,6903425.06283362,"twoopt","dist_exp",18,NA,NA,0.55,100
"25",24000,"sann",6903425.06283362,6903425.06283362,"reduce_max_dist","dist_iden",10,NA,NA,0.66,100
"26",25000,"hill",6903425.06283362,6903425.06283362,"reduce_max_dist","dist_iden",NA,NA,NA,NA,100
